type,length_of_arr,no_compares,no_swaps,time
dual_quick,1800,12366,19471,0.024369478225708008
hybrid,1800,19785,19406,0.02874469757080078
insert,1800,790525,790516,0.9175069332122803
merge,1800,18506,17186,0.03174257278442383
quick,1800,14845,22565,0.026978731155395508
dual_quick,1800,12432,18761,0.02484917640686035
hybrid,1800,19943,19524,0.028464794158935547
insert,1900,923181,923179,1.0846328735351562
merge,1900,19558,18274,0.03633618354797363
quick,1900,14958,23400,0.02745366096496582
dual_quick,1900,14136,20367,0.029457807540893555
hybrid,1900,21542,21121,0.029850244522094727
insert,1900,920369,920361,1.1253347396850586
merge,1900,19619,18324,0.03349947929382324
quick,1900,15279,24949,0.031365156173706055
dual_quick,1900,12919,21706,0.02667975425720215
hybrid,1900,21514,21124,0.030982255935668945
insert,1900,893965,893955,1.0517148971557617
merge,1900,19547,18296,0.03295469284057617
quick,1900,18344,27046,0.03128647804260254
dual_quick,1900,13523,20332,0.026481151580810547
hybrid,1900,21395,21005,0.03032517433166504
insert,1900,927066,927056,1.3041715621948242
merge,1900,19647,18306,0.03977799415588379
quick,1900,18003,26416,0.03807258605957031
dual_quick,1900,13058,20616,0.04259204864501953
hybrid,1900,21666,21270,0.06156325340270996
insert,1900,910657,910647,1.353588342666626
merge,1900,19591,18364,0.031037569046020508
quick,1900,15001,25227,0.027973413467407227
dual_quick,1900,13323,19998,0.024976253509521484
hybrid,1900,21443,21059,0.028949499130249023
insert,2000,1013148,1013140,1.1437561511993408
merge,2000,20710,19396,0.03771090507507324
quick,2000,16805,26243,0.03310203552246094
dual_quick,2000,12646,21404,0.02657175064086914
hybrid,2000,22957,22543,0.037812232971191406
insert,2000,1022525,1022520,1.1861085891723633
merge,2000,20717,19409,0.036101579666137695
quick,2000,15743,29580,0.031220197677612305
dual_quick,2000,14024,25804,0.0322418212890625
hybrid,2000,23188,22744,0.031685829162597656
insert,2000,1017815,1017805,1.2146203517913818
merge,2000,20689,19398,0.03659176826477051
quick,2000,14965,25166,0.028221607208251953
dual_quick,2000,14530,21414,0.028209209442138672
hybrid,2000,23115,22688,0.03211855888366699
insert,2000,1023786,1023780,1.3490843772888184
merge,2000,20742,19392,0.036334991455078125
quick,2000,14954,24931,0.028423309326171875
dual_quick,2000,13522,24506,0.03205156326293945
hybrid,2000,23158,22688,0.03157401084899902
insert,2000,1006032,1006025,1.733644723892212
merge,2000,20728,19412,0.035943031311035156
quick,2000,16097,25597,0.030068397521972656
dual_quick,2000,14653,22340,0.027883052825927734
hybrid,2000,23232,22782,0.034516096115112305
insert,2100,1085555,1085546,1.7207555770874023
