type,length_of_arr,no_compares,no_swaps,time
merge,1200,11671,10791,0.023555994033813477
quick,1200,6577,13204,0.014873266220092773
dual_quick,1200,8562,12327,0.0155181884765625
hybrid,1200,13498,13288,0.0186309814453125
insert,1200,356919,356910,0.43863630294799805
merge,1200,11678,10792,0.02088189125061035
quick,1200,7020,12897,0.012310266494750977
dual_quick,1200,7664,11412,0.015907764434814453
hybrid,1200,13546,13331,0.018895387649536133
insert,1200,360972,360967,0.4018526077270508
merge,1200,11706,10773,0.019258737564086914
quick,1200,6893,14952,0.013774871826171875
dual_quick,1200,7908,13358,0.018573999404907227
hybrid,1200,13790,13549,0.02219104766845703
insert,1200,354094,354090,0.4221367835998535
merge,1200,11697,10775,0.019310951232910156
quick,1200,8047,13536,0.016455650329589844
dual_quick,1200,8319,11844,0.017226219177246094
hybrid,1200,13474,13261,0.019178390502929688
insert,1200,353375,353368,0.44083380699157715
merge,1200,11725,10778,0.023996353149414062
quick,1200,7047,13181,0.013206720352172852
dual_quick,1200,7498,11982,0.01667475700378418
hybrid,1200,13861,13630,0.018975257873535156
insert,1300,439333,439322,0.5400424003601074
merge,1300,12865,11855,0.02227020263671875
quick,1300,7690,15583,0.017624855041503906
dual_quick,1300,9168,12312,0.018074750900268555
hybrid,1300,15359,15121,0.024908781051635742
insert,1300,420127,420119,0.5189547538757324
merge,1300,12825,11838,0.022705078125
quick,1300,7623,13799,0.01392674446105957
dual_quick,1300,9481,13049,0.01873040199279785
hybrid,1300,15265,15032,0.02151346206665039
insert,1300,423824,423815,0.5382087230682373
merge,1300,12805,11817,0.02272200584411621
quick,1300,8152,14692,0.016750574111938477
dual_quick,1300,8865,13026,0.017091035842895508
hybrid,1300,15320,15118,0.02147960662841797
insert,1300,416567,416564,0.49565768241882324
merge,1300,12848,11838,0.02199077606201172
quick,1300,7226,14690,0.01485753059387207
dual_quick,1300,9154,15203,0.0187680721282959
hybrid,1300,15201,14972,0.021230459213256836
insert,1300,420912,420905,0.5636985301971436
merge,1300,12815,11836,0.022455692291259766
quick,1300,8253,14929,0.017015695571899414
dual_quick,1300,8346,13144,0.01944899559020996
hybrid,1300,15238,14995,0.021741867065429688
insert,1400,481940,481933,0.5707368850708008
merge,1400,14028,12890,0.024894237518310547
quick,1400,9165,16046,0.018398523330688477
dual_quick,1400,8642,14068,0.01808786392211914
hybrid,1400,17233,16996,0.02529168128967285
insert,1400,491580,491578,0.6023552417755127
merge,1400,13969,12894,0.023504257202148438
quick,1400,9222,16196,0.016735315322875977
dual_quick,1400,8912,13969,0.01931929588317871
hybrid,1400,16987,16753,0.024453401565551758
insert,1400,489793,489788,0.6010284423828125
merge,1400,13968,12905,0.023786306381225586
quick,1400,10468,16704,0.01898503303527832
dual_quick,1400,9032,13336,0.020387649536132812
hybrid,1400,16890,16668,0.022122859954833984
insert,1400,482542,482533,0.6183433532714844
merge,1400,14035,12902,0.026435375213623047
quick,1400,8846,17296,0.020815372467041016
dual_quick,1400,9780,13755,0.019518136978149414
hybrid,1400,17058,16836,0.03353238105773926
insert,1400,485048,485039,0.6504902839660645
merge,1400,13987,12900,0.024819612503051758
quick,1400,8483,14758,0.016976356506347656
dual_quick,1400,9255,14200,0.018580913543701172
hybrid,1400,16957,16719,0.02466869354248047
insert,1500,568172,568166,0.6710360050201416
merge,1500,15156,13962,0.026387691497802734
quick,1500,10749,17099,0.019731760025024414
dual_quick,1500,10153,17596,0.02199387550354004
hybrid,1500,15800,15395,0.023038387298583984
insert,1500,568692,568686,0.7186431884765625
merge,1500,15115,13951,0.031972408294677734
quick,1500,9889,18449,0.018706321716308594
dual_quick,1500,10111,16044,0.021784543991088867
hybrid,1500,15695,15308,0.022483348846435547
insert,1500,573420,573415,0.7291362285614014
merge,1500,15148,13937,0.04168438911437988
quick,1500,9301,17094,0.022105932235717773
dual_quick,1500,10331,15034,0.021076202392578125
hybrid,1500,15761,15369,0.02811741828918457
insert,1500,574959,574946,0.6892552375793457
merge,1500,15143,14005,0.025333404541015625
